61881;-13542;66431;0
61973;-13464;66391;0
62157;-13307;66309;0
62250;-13229;66267;0
62435;-13073;66182;0
62527;-12995;66139;0
62620;-12917;66096;0
62713;-12840;66052;0
62899;-12685;65962;0
62992;-12608;65917;0
63178;-12454;65825;0
63272;-12377;65778;0
63460;-12224;65684;0
63554;-12148;65636;0
63741;-11996;65538;0
63835;-11921;65488;0
63929;-11845;65438;0
64116;-11695;65337;0
64210;-11621;65285;0
64398;-11472;65181;0
64492;-11398;65127;0
64680;-11251;65019;0
64775;-11178;64965;0
64963;-11033;64853;0
65058;-10961;64797;0
65247;-10818;64683;0
65341;-10747;64625;0
65531;-10606;64507;0
65626;-10536;64447;0
65722;-10466;64387;0
65817;-10397;64326;0
66008;-10259;64203;0
66104;-10191;64141;0
66296;-10056;64015;0
66391;-9989;63952;0
66583;-9856;63823;0
66679;-9790;63758;0
66870;-9659;63626;0
66966;-9595;63559;0
67158;-9466;63425;0
67254;-9403;63357;0
67446;-9277;63219;0
67543;-9214;63150;0
67736;-9090;63010;0
67833;-9029;62940;0
68027;-8907;62797;0
68124;-8847;62725;0
68319;-8727;62580;0
68416;-8668;62507;0
68607;-8551;62360;0
68703;-8493;62286;0
68895;-8378;62136;0
68991;-8321;62061;0
69184;-8207;61908;0
69281;-8151;61831;0
69475;-8039;61677;0
69571;-7984;61599;0
69765;-7875;61444;0
69862;-7821;61366;0
70056;-7714;61208;0
70153;-7660;61129;0
70348;-7555;60969;0
70446;-7503;60889;0
70642;-7399;60728;0
70740;-7348;60647;0
70938;-7246;60484;0
71037;-7196;60403;0
71236;-7096;60238;0
71335;-7046;60156;0
71533;-6948;59990;0
71632;-6899;59906;0
71829;-6803;59739;0
71927;-6755;59655;0
72124;-6660;59486;0
72223;-6613;59401;0
72420;-6520;59230;0
72518;-6474;59145;0
72714;-6383;58973;0
72813;-6338;58886;0
73009;-6248;58713;0
73108;-6204;58626;0
73303;-6116;58451;0
73400;-6073;58364;0
73594;-5987;58188;0
73692;-5945;58099;0
73886;-5861;57921;0
73984;-5820;57832;0
74179;-5738;57653;0
74277;-5698;57563;0
74473;-5618;57383;0
74571;-5578;57292;0
74767;-5500;57111;0
74865;-5462;57020;0
75062;-5385;56837;0
75161;-5347;56746;0
75358;-5272;56562;0
75457;-5234;56470;0
75655;-5160;56285;0
75754;-5124;56193;0
75952;-5051;56007;0
76051;-5015;55914;0
76150;-4980;55821;0
76349;-4909;55633;0
76449;-4875;55540;0
76648;-4806;55351;0
76748;-4772;55257;0
76948;-4705;55068;0
77048;-4672;54973;0
77248;-4606;54783;0
77349;-4574;54688;0
77549;-4509;54497;0
77650;-4477;54401;0
77851;-4414;54209;0
77952;-4383;54113;0
78153;-4320;53921;0
78254;-4289;53824;0
78456;-4227;53631;0
78557;-4196;53535;0
78764;-4133;53336;0
78871;-4101;53234;0
79082;-4037;53032;0
79186;-4006;52933;0
79390;-3945;52736;0
79492;-3915;52639;0
79594;-3885;52541;0
79797;-3826;52345;0
79899;-3796;52247;0
80103;-3737;52051;0
80205;-3707;51953;0
80410;-3649;51756;0
80512;-3619;51657;0
80725;-3559;51452;0
80836;-3528;51345;0
81049;-3467;51139;0
81154;-3438;51038;0
81364;-3380;50835;0
81467;-3351;50736;0
81673;-3294;50537;0
81776;-3265;50437;0
81982;-3208;50237;0
82086;-3180;50137;0
82293;-3123;49937;0
82401;-3094;49832;0
